min,max,a,b,c,e,f
100,300,0.0097,6.8,119,90,0.72
120,438,0.0055,4,90,79,0.05
100,250,0.0055,4,45,0,0
8,25,0.0025,0.85,0,0,0
50,63.75,0,5.28,0.891,0,0
150,300,0.008,3.5,110,0,0
50,63.75,0,5.439,21,0,0
100,500,0.0075,6,88,50,0.52
200,600,0.0085,6,55,0,0
15,40,0.009,5.2,90,0,0
50,150,0.0045,1.6,65,0,0
25,75,0.0025,0.85,78,58,0.02
50,63.75,0,2.55,49,0,0
0,95,0.0045,1.6,85,0,0
20,220,0.0065,4.7,80,92,0.75
15,80,0.0045,1.4,90,0,0
15,80,0.0025,0.85,10,0,0
50,230,0.0045,1.6,25,0,0
400,500,0.008,5.5,90,0,0
